"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion pagina web","Ingreso exitoso a la aplicacion web","SUCCESS","2021-07-28T16:15:07.745-05:00[America/Bogota]","0.0","17.98"
"Registro de usuarios nuevos","registro de usario nuevo","SUCCESS","2021-07-28T17:27:44.1176654-05:00[America/Bogota]","0.0","34.14"
